geo,1960,1965,1970,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2012,2013,2014,2015,1993,1994,2011,2016,2017,2018,2019
abw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1718,3000,3402,5380,12000,15000,53000,61800,69952,98389,103417,109030,113586,120806,128000,131800,135000,138800,139700,141000,NA,NA,NA,NA,NA,NA,NA
afg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,200000,600000,1200000,2520366,4668096,7898909,10500000,10215840,15340115,16807156,18407168,19709038,0,0,13797879,21602982,23929713,21976355,22580071
ago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,3298,7052,9820,24000,25806,75000,140000,350000,740000,1611118,3054620,4961536,6773356,8109421,9403365,12785109,13285198,14052558,13884532,1100,1824,12073218,13001124,13323952,13288421,14830154
alb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,3300,5600,11008,29791,392650,851000,1100000,1259590,1530244,1909885,2322436,1859632,2463741,2692372,3500000,3685983,3359654,3400955,0,0,3100000,3369756,3625699,2714878,2630076
and,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,2825,5488,8618,14117,20600,23543,29429,32790,51893,58366,64560,69004,63503,64202,64549,65495,63865,63931,66241,71336,780,784,65044,76132,80337,82614,87909
are,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2330,3564,4936,7924,11191,13711,13823,24946,33578,43008,48919,128968,193834,309373,493278,832267,1428115,1909303,2428071,2972331,3683117,4534143,5519293,7731508,9357735,10671878,10926019,13775252,16063547,16819024,17942560,70586,91488,11727401,19905093,19826224,20081015,19602815
arg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,12000,25000,46590,405395,667020,2009073,2670862,3848869,6487950,6741791,6566740,7842233,13512383,22156426,31510390,40401771,46508774,52482780,57082298,64327647,67361515,61234216,61842011,112000,241163,60722729,63719805,61897379,58598041,58606442
arm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5000,7831,8161,17486,25504,71349,114379,203309,318044,1259762,1876411,1442000,2191500,3865354,3322837,3346275,3459137,3464490,0,0,3211215,3434567,3488524,3579257,3618747
asm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,700,1250,1300,1400,1500,1800,1992,2156,2036,2100,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,1200,NA,NA,NA,NA,NA
atg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,1300,1400,1500,8500,22000,25000,38205,46100,54000,86000,110177,112381,136592,134925,167970,127381,114358,120041,176000,NA,NA,176008,180000,184000,NA,NA
aus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423,31622,94529,184943,291459,497000,2242000,3990000,4578000,4918000,6315000,8562000,11132000,12670000,14347000,16480000,18420000,19760000,21260000,22120000,22200000,22500000,24338000,24940000,25060000,25770000,690000,1220000,23789000,26551000,26660000,27640000,27880000
aut,0,0,0,0,0,0,0,0,0,0,0,0,0,9762,19104,26223,36904,50721,73698,115402,172453,383535,598708,1159700,2292900,4250393,6117000,6541000,6736000,7274000,7992000,8665000,9281000,9912000,10816000,11434000,12241000,13588000,13272000,12952605,13470623,220859,278199,13022578,11079460,10859000,10984000,10726000
aze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,17000,40000,65000,370000,420400,730000,794200,1057100,1456523,2242000,3323500,4519000,6548000,7757120,9100113,10125200,10130102,10552520,10697132,0,500,10120105,10189000,10127000,10339700,10750300
bdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,561,619,620,800,16320,33416,52000,64000,100560,153000,200000,270000,480584,920749,1678029,2247126,2536831,3193257,4997696,353,378,1914586,5357816,5920612,6317965,6643411
